Time,Flags O2_Air,Value O2_Air,Unit O2_Air,Temp O2_Air,T.Unit O2_Air,Flags O2_2,Value O2_2,Unit O2_2,Temp O2_2,T.Unit O2_2,Flags O2_3,Value O2_3,Unit O2_3,Temp O2_3,T.Unit O2_3,Flags O2_4,Value O2_4,Unit O2_4,Temp O2_4,T.Unit O2_4,Flags pH_1,Value pH_1,Unit pH_1,Temp pH_1,T.Unit pH_1,Flags pH_2,Value pH_2,Unit pH_2,Temp pH_2,T.Unit pH_2,Flags pH_3,Value pH_3,Unit pH_3,Temp pH_3,T.Unit pH_3,Flags pH_4,Value pH_4,Unit pH_4,Temp pH_4,T.Unit pH_4,D130
"13/03/2015 0:10:45","0","53,7","mV","25,0","°C","0","-518,6","mV","25,0","°C","16","0,2","mV","23,0","°C","0","-586,4","mV","25,0","°C","16","-52,3","mV","25,3","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:11:05","0","53,7","mV","25,0","°C","0","-520,5","mV","25,0","°C","16","0,3","mV","23,0","°C","0","-586,8","mV","25,0","°C","16","-51,7","mV","25,3","°C","0","-50,6","mV","25,0","°C","0","-50,2","mV","25,0","°C","0","-49,6","mV","25,0","°C",""
"13/03/2015 0:11:25","0","53,6","mV","25,0","°C","0","-528,7","mV","25,0","°C","16","0,2","mV","23,0","°C","0","-599,9","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,7","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
"13/03/2015 0:11:45","0","53,7","mV","25,0","°C","0","-536,5","mV","25,0","°C","16","0,2","mV","23,0","°C","0","-609,4","mV","25,0","°C","16","-52,3","mV","25,3","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:12:05","0","53,7","mV","25,0","°C","0","-543,4","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-617,9","mV","25,0","°C","16","-52,0","mV","25,4","°C","0","-50,9","mV","25,0","°C","0","-50,5","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
"13/03/2015 0:12:25","0","53,7","mV","25,0","°C","0","-545,4","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-622,3","mV","25,0","°C","16","-51,8","mV","25,4","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,2","mV","25,0","°C",""
"13/03/2015 0:12:45","0","53,7","mV","25,0","°C","0","-546,3","mV","25,0","°C","16","0,3","mV","22,8","°C","0","-625,1","mV","25,0","°C","16","-51,7","mV","25,4","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
"13/03/2015 0:13:05","0","53,7","mV","25,0","°C","0","-560,0","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-643,1","mV","25,0","°C","16","-51,9","mV","25,4","°C","0","-50,9","mV","25,0","°C","0","-50,6","mV","25,0","°C","0","-49,6","mV","25,0","°C",""
"13/03/2015 0:13:25","0","53,7","mV","25,0","°C","0","-562,2","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-643,9","mV","25,0","°C","16","-51,8","mV","25,4","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,2","mV","25,0","°C",""
"13/03/2015 0:13:45","0","53,7","mV","25,0","°C","0","-564,9","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-651,3","mV","25,0","°C","16","-52,3","mV","25,4","°C","0","-51,2","mV","25,0","°C","0","-50,8","mV","25,0","°C","0","-49,9","mV","25,0","°C",""
